department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2005,1,< de 1 ano-H,1.0
La Paz,20201,Achacachi,2005,1,< de 1 ano-H,35.0
La Paz,20104,Achocalla,2005,1,< de 1 ano-H,2.0
Cochabamba,30201,Aiquile,2005,1,< de 1 ano-H,3.0
Cochabamba,31303,Alalay,2005,1,< de 1 ano-H,2.0
La Paz,20202,Ancoraimes,2005,1,< de 1 ano-H,0.0
Oruro,41201,Andamarca,2005,1,< de 1 ano-H,2.0
Oruro,40603,Antequera,2005,1,< de 1 ano-H,7.0
Cochabamba,30402,Anzaldo,2005,1,< de 1 ano-H,3.0
Potosí,51301,Arampampa,2005,1,< de 1 ano-H,0.0
Cochabamba,30501,Arani,2005,1,< de 1 ano-H,1.0
Cochabamba,30403,Arbieto,2005,1,< de 1 ano-H,2.0
Cochabamba,30601,Arque,2005,1,< de 1 ano-H,4.0
Santa Cruz,71501,Ascencion De Guarayos,2005,1,< de 1 ano-H,13.0
Potosí,50802,Atocha,2005,1,< de 1 ano-H,0.0
La Paz,20503,Aucapata,2005,1,< de 1 ano-H,3.0
La Paz,20502,Ayata,2005,1,< de 1 ano-H,5.0
La Paz,21303,Ayo Ayo,2005,1,< de 1 ano-H,0.0
Cochabamba,30301,Ayopaya (v. De Independencia),2005,1,< de 1 ano-H,3.0
Chuquisaca,10201,Azurduy,2005,1,< de 1 ano-H,2.0
La Paz,21203,Batallas,2005,1,< de 1 ano-H,0.0
Beni,80802,Baures,2005,1,< de 1 ano-H,1.0
Oruro,41202,Belen De Andamarca,2005,1,< de 1 ano-H,0.0
Pando,90104,Bella Flor,2005,1,< de 1 ano-H,5.0
Tarija,60202,Bermejo,2005,1,< de 1 ano-H,9.0
Potosí,50301,Betanzos,2005,1,< de 1 ano-H,19.0
Cochabamba,31501,Bolivar,2005,1,< de 1 ano-H,10.0
Pando,90103,Bolpebra,2005,1,< de 1 ano-H,0.0
Santa Cruz,70707,Boyuibe,2005,1,< de 1 ano-H,4.0
Santa Cruz,70401,Buena Vista,2005,1,< de 1 ano-H,4.0
Santa Cruz,70703,Cabezas,2005,1,< de 1 ano-H,9.0
La Paz,20905,Cairoma,2005,1,< de 1 ano-H,7.0
Potosí,51102,"Caiza ""d""",2005,1,< de 1 ano-H,3.0
La Paz,21003,Cajuata,2005,1,< de 1 ano-H,2.0
La Paz,20303,Calacoto,2005,1,< de 1 ano-H,1.0
La Paz,21304,Calamarca,2005,1,< de 1 ano-H,3.0
