department,municipality_id,municipality,year,month,population,value
Santa Cruz,70101,Santa Cruz De La Sierra,2021,12,a. Menor de 6 meses / MASCULINO,0
Chuquisaca,10704,Villa Charcas,2021,12,a. Menor de 6 meses / MASCULINO,0
Cochabamba,30101,Cochabamba,2021,1,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2021,1,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70602,Santa Rosa Del Sara,2021,1,a. Menor de 6 meses / FEMENINO,0
La Paz,20801,Viacha,2021,1,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31003,Villa Tunari,2021,1,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30101,Cochabamba,2021,2,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2021,2,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2021,2,a. Menor de 6 meses / FEMENINO,0
Potosí,50203,Llallagua,2021,2,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71001,Montero,2021,2,a. Menor de 6 meses / FEMENINO,0
Beni,80701,San Joaquin,2021,2,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70602,Santa Rosa Del Sara,2021,2,a. Menor de 6 meses / FEMENINO,0
Pando,90101,Cobija,2021,3,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2021,3,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71001,Montero,2021,3,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70103,Porongo,2021,3,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2021,3,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,3,a. Menor de 6 meses / FEMENINO,0
Tarija,60101,Tarija,2021,3,a. Menor de 6 meses / FEMENINO,0
Beni,80101,Trinidad,2021,3,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2021,4,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,4,a. Menor de 6 meses / FEMENINO,0
Tarija,60101,Tarija,2021,4,a. Menor de 6 meses / FEMENINO,0
Beni,80802,Baures,2021,6,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70702,Charagua,2021,6,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2021,6,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2021,6,a. Menor de 6 meses / FEMENINO,0
Potosí,50203,Llallagua,2021,6,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,6,a. Menor de 6 meses / FEMENINO,2
Potosí,50901,"Colcha ""k""",2021,7,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71106,Cuatro Cañadas,2021,7,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2021,7,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31301,Mizque,2021,7,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2021,7,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,7,a. Menor de 6 meses / FEMENINO,0
Tarija,60101,Tarija,2021,7,a. Menor de 6 meses / FEMENINO,0
Beni,80101,Trinidad,2021,7,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2021,8,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2021,8,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2021,8,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,8,a. Menor de 6 meses / FEMENINO,0
Cochabamba,31204,Chimore,2021,9,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30101,Cochabamba,2021,9,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2021,9,a. Menor de 6 meses / FEMENINO,0
Pando,90402,Ingavi (humaita),2021,9,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2021,9,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71401,Puerto Suarez,2021,9,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2021,9,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,9,a. Menor de 6 meses / FEMENINO,0
Tarija,60101,Tarija,2021,9,a. Menor de 6 meses / FEMENINO,0
Beni,80101,Trinidad,2021,9,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2021,10,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10501,Monteagudo,2021,10,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2021,10,a. Menor de 6 meses / FEMENINO,0
Beni,80302,San Borja,2021,10,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,10,a. Menor de 6 meses / FEMENINO,0
Tarija,60101,Tarija,2021,10,a. Menor de 6 meses / FEMENINO,0
Pando,90101,Cobija,2021,11,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30101,Cochabamba,2021,11,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2021,11,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2021,11,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10501,Monteagudo,2021,11,a. Menor de 6 meses / FEMENINO,0
Oruro,40101,Oruro,2021,11,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,11,a. Menor de 6 meses / FEMENINO,0
Tarija,60101,Tarija,2021,11,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70401,Buena Vista,2021,12,a. Menor de 6 meses / FEMENINO,0
Pando,90101,Cobija,2021,12,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,71106,Cuatro Cañadas,2021,12,a. Menor de 6 meses / FEMENINO,0
La Paz,20105,El Alto,2021,12,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70104,La Guardia,2021,12,a. Menor de 6 meses / FEMENINO,0
La Paz,20101,La Paz,2021,12,a. Menor de 6 meses / FEMENINO,0
La Paz,20901,Luribay,2021,12,a. Menor de 6 meses / FEMENINO,0
Beni,80201,Riberalta,2021,12,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70503,Robore,2021,12,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70501,San Jose De Chiquitos,2021,12,a. Menor de 6 meses / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,12,a. Menor de 6 meses / FEMENINO,0
Chuquisaca,10704,Villa Charcas,2021,12,a. Menor de 6 meses / FEMENINO,0
Cochabamba,30101,Cochabamba,2021,1,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2021,1,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70602,Santa Rosa Del Sara,2021,1,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20801,Viacha,2021,1,b. 6 meses a menor de 1 ano / MASCULINO,0
Cochabamba,31003,Villa Tunari,2021,1,b. 6 meses a menor de 1 ano / MASCULINO,0
Cochabamba,30101,Cochabamba,2021,2,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20105,El Alto,2021,2,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2021,2,b. 6 meses a menor de 1 ano / MASCULINO,0
Potosí,50203,Llallagua,2021,2,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,71001,Montero,2021,2,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80701,San Joaquin,2021,2,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70602,Santa Rosa Del Sara,2021,2,b. 6 meses a menor de 1 ano / MASCULINO,0
Pando,90101,Cobija,2021,3,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2021,3,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,71001,Montero,2021,3,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70103,Porongo,2021,3,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80201,Riberalta,2021,3,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,3,b. 6 meses a menor de 1 ano / MASCULINO,0
Tarija,60101,Tarija,2021,3,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80101,Trinidad,2021,3,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2021,4,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,4,b. 6 meses a menor de 1 ano / MASCULINO,0
Tarija,60101,Tarija,2021,4,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80802,Baures,2021,6,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70702,Charagua,2021,6,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20105,El Alto,2021,6,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2021,6,b. 6 meses a menor de 1 ano / MASCULINO,0
Potosí,50203,Llallagua,2021,6,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,6,b. 6 meses a menor de 1 ano / MASCULINO,0
Potosí,50901,"Colcha ""k""",2021,7,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,71106,Cuatro Cañadas,2021,7,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2021,7,b. 6 meses a menor de 1 ano / MASCULINO,0
Cochabamba,31301,Mizque,2021,7,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80201,Riberalta,2021,7,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,7,b. 6 meses a menor de 1 ano / MASCULINO,0
Tarija,60101,Tarija,2021,7,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80101,Trinidad,2021,7,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20105,El Alto,2021,8,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2021,8,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80201,Riberalta,2021,8,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,8,b. 6 meses a menor de 1 ano / MASCULINO,0
Cochabamba,31204,Chimore,2021,9,b. 6 meses a menor de 1 ano / MASCULINO,0
Cochabamba,30101,Cochabamba,2021,9,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20105,El Alto,2021,9,b. 6 meses a menor de 1 ano / MASCULINO,0
Pando,90402,Ingavi (humaita),2021,9,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2021,9,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,71401,Puerto Suarez,2021,9,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80201,Riberalta,2021,9,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,9,b. 6 meses a menor de 1 ano / MASCULINO,0
Tarija,60101,Tarija,2021,9,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80101,Trinidad,2021,9,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2021,10,b. 6 meses a menor de 1 ano / MASCULINO,0
Chuquisaca,10501,Monteagudo,2021,10,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80201,Riberalta,2021,10,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80302,San Borja,2021,10,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,10,b. 6 meses a menor de 1 ano / MASCULINO,0
Tarija,60101,Tarija,2021,10,b. 6 meses a menor de 1 ano / MASCULINO,0
Pando,90101,Cobija,2021,11,b. 6 meses a menor de 1 ano / MASCULINO,0
Cochabamba,30101,Cochabamba,2021,11,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20105,El Alto,2021,11,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2021,11,b. 6 meses a menor de 1 ano / MASCULINO,0
Chuquisaca,10501,Monteagudo,2021,11,b. 6 meses a menor de 1 ano / MASCULINO,0
Oruro,40101,Oruro,2021,11,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,11,b. 6 meses a menor de 1 ano / MASCULINO,0
Tarija,60101,Tarija,2021,11,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70401,Buena Vista,2021,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Pando,90101,Cobija,2021,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,71106,Cuatro Cañadas,2021,12,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20105,El Alto,2021,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70104,La Guardia,2021,12,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2021,12,b. 6 meses a menor de 1 ano / MASCULINO,0
La Paz,20901,Luribay,2021,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Beni,80201,Riberalta,2021,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70503,Robore,2021,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70501,San Jose De Chiquitos,2021,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Chuquisaca,10704,Villa Charcas,2021,12,b. 6 meses a menor de 1 ano / MASCULINO,0
Cochabamba,30101,Cochabamba,2021,1,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2021,1,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70602,Santa Rosa Del Sara,2021,1,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20801,Viacha,2021,1,b. 6 meses a menor de 1 ano / FEMENINO,0
Cochabamba,31003,Villa Tunari,2021,1,b. 6 meses a menor de 1 ano / FEMENINO,0
Cochabamba,30101,Cochabamba,2021,2,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2021,2,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2021,2,b. 6 meses a menor de 1 ano / FEMENINO,0
Potosí,50203,Llallagua,2021,2,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,71001,Montero,2021,2,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80701,San Joaquin,2021,2,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70602,Santa Rosa Del Sara,2021,2,b. 6 meses a menor de 1 ano / FEMENINO,0
Pando,90101,Cobija,2021,3,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2021,3,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,71001,Montero,2021,3,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70103,Porongo,2021,3,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80201,Riberalta,2021,3,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,3,b. 6 meses a menor de 1 ano / FEMENINO,0
Tarija,60101,Tarija,2021,3,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80101,Trinidad,2021,3,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2021,4,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,4,b. 6 meses a menor de 1 ano / FEMENINO,0
Tarija,60101,Tarija,2021,4,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80802,Baures,2021,6,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70702,Charagua,2021,6,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2021,6,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2021,6,b. 6 meses a menor de 1 ano / FEMENINO,0
Potosí,50203,Llallagua,2021,6,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,6,b. 6 meses a menor de 1 ano / FEMENINO,0
Potosí,50901,"Colcha ""k""",2021,7,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,71106,Cuatro Cañadas,2021,7,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2021,7,b. 6 meses a menor de 1 ano / FEMENINO,0
Cochabamba,31301,Mizque,2021,7,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80201,Riberalta,2021,7,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,7,b. 6 meses a menor de 1 ano / FEMENINO,0
Tarija,60101,Tarija,2021,7,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80101,Trinidad,2021,7,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2021,8,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2021,8,b. 6 meses a menor de 1 ano / FEMENINO,1
Beni,80201,Riberalta,2021,8,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,8,b. 6 meses a menor de 1 ano / FEMENINO,0
Cochabamba,31204,Chimore,2021,9,b. 6 meses a menor de 1 ano / FEMENINO,0
Cochabamba,30101,Cochabamba,2021,9,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2021,9,b. 6 meses a menor de 1 ano / FEMENINO,0
Pando,90402,Ingavi (humaita),2021,9,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2021,9,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,71401,Puerto Suarez,2021,9,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80201,Riberalta,2021,9,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,9,b. 6 meses a menor de 1 ano / FEMENINO,0
Tarija,60101,Tarija,2021,9,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80101,Trinidad,2021,9,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2021,10,b. 6 meses a menor de 1 ano / FEMENINO,0
Chuquisaca,10501,Monteagudo,2021,10,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80201,Riberalta,2021,10,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80302,San Borja,2021,10,b. 6 meses a menor de 1 ano / FEMENINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2021,10,b. 6 meses a menor de 1 ano / FEMENINO,0
Tarija,60101,Tarija,2021,10,b. 6 meses a menor de 1 ano / FEMENINO,0
Pando,90101,Cobija,2021,11,b. 6 meses a menor de 1 ano / FEMENINO,0
Cochabamba,30101,Cochabamba,2021,11,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2021,11,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2021,11,b. 6 meses a menor de 1 ano / FEMENINO,0
Chuquisaca,10501,Monteagudo,2021,11,b. 6 meses a menor de 1 ano / FEMENINO,0
Oruro,40101,Oruro,2021,11,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,11,b. 6 meses a menor de 1 ano / FEMENINO,0
Tarija,60101,Tarija,2021,11,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70401,Buena Vista,2021,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Pando,90101,Cobija,2021,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,71106,Cuatro Cañadas,2021,12,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2021,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70104,La Guardia,2021,12,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2021,12,b. 6 meses a menor de 1 ano / FEMENINO,0
La Paz,20901,Luribay,2021,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Beni,80201,Riberalta,2021,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70503,Robore,2021,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70501,San Jose De Chiquitos,2021,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2021,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Chuquisaca,10704,Villa Charcas,2021,12,b. 6 meses a menor de 1 ano / FEMENINO,0
Cochabamba,30101,Cochabamba,2021,1,c. 1 - 4 anos / MASCULINO,0
La Paz,20101,La Paz,2021,1,c. 1 - 4 anos / MASCULINO,3
Santa Cruz,70602,Santa Rosa Del Sara,2021,1,c. 1 - 4 anos / MASCULINO,1
La Paz,20801,Viacha,2021,1,c. 1 - 4 anos / MASCULINO,0
Cochabamba,31003,Villa Tunari,2021,1,c. 1 - 4 anos / MASCULINO,0
