department,municipality_id,municipality,year,month,population,value
Santa Cruz,70101,Santa Cruz De La Sierra,2011,1,< de 1 ano,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,2,< de 1 ano,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,3,< de 1 ano,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,4,< de 1 ano,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,5,< de 1 ano,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,6,< de 1 ano,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,7,< de 1 ano,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,8,< de 1 ano,0
Tarija,60101,Tarija,2011,8,< de 1 ano,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,9,< de 1 ano,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,10,< de 1 ano,0
Chuquisaca,10101,Sucre,2011,10,< de 1 ano,1
Santa Cruz,70101,Santa Cruz De La Sierra,2011,11,< de 1 ano,0
La Paz,20101,La Paz,2011,12,< de 1 ano,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,12,< de 1 ano,0
Chuquisaca,10101,Sucre,2011,12,< de 1 ano,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,1,1 a 4 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,2,1 a 4 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,3,1 a 4 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,4,1 a 4 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,5,1 a 4 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,6,1 a 4 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,7,1 a 4 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,8,1 a 4 anos,0
Tarija,60101,Tarija,2011,8,1 a 4 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,9,1 a 4 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,10,1 a 4 anos,0
Chuquisaca,10101,Sucre,2011,10,1 a 4 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,11,1 a 4 anos,0
La Paz,20101,La Paz,2011,12,1 a 4 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,12,1 a 4 anos,0
Chuquisaca,10101,Sucre,2011,12,1 a 4 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,1,5 a 9 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,2,5 a 9 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,3,5 a 9 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,4,5 a 9 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,5,5 a 9 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,6,5 a 9 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,7,5 a 9 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,8,5 a 9 anos,0
Tarija,60101,Tarija,2011,8,5 a 9 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,9,5 a 9 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,10,5 a 9 anos,0
Chuquisaca,10101,Sucre,2011,10,5 a 9 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,11,5 a 9 anos,0
La Paz,20101,La Paz,2011,12,5 a 9 anos,1
Santa Cruz,70101,Santa Cruz De La Sierra,2011,12,5 a 9 anos,0
Chuquisaca,10101,Sucre,2011,12,5 a 9 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,1,10 a 20 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,2,10 a 20 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,3,10 a 20 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,4,10 a 20 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,5,10 a 20 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,6,10 a 20 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,7,10 a 20 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,8,10 a 20 anos,0
Tarija,60101,Tarija,2011,8,10 a 20 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,9,10 a 20 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,10,10 a 20 anos,0
Chuquisaca,10101,Sucre,2011,10,10 a 20 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,11,10 a 20 anos,0
La Paz,20101,La Paz,2011,12,10 a 20 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,12,10 a 20 anos,0
Chuquisaca,10101,Sucre,2011,12,10 a 20 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,1,21 a 59 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,2,21 a 59 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,3,21 a 59 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,4,21 a 59 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,5,21 a 59 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,6,21 a 59 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,7,21 a 59 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,8,21 a 59 anos,0
Tarija,60101,Tarija,2011,8,21 a 59 anos,1
Santa Cruz,70101,Santa Cruz De La Sierra,2011,9,21 a 59 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,10,21 a 59 anos,0
Chuquisaca,10101,Sucre,2011,10,21 a 59 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,11,21 a 59 anos,0
La Paz,20101,La Paz,2011,12,21 a 59 anos,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,12,21 a 59 anos,0
Chuquisaca,10101,Sucre,2011,12,21 a 59 anos,1
Santa Cruz,70101,Santa Cruz De La Sierra,2011,1,60 y mas,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,2,60 y mas,0
Santa Cruz,70101,Santa Cruz De La Sierra,2011,3,60 y mas,0
