department,municipality_id,municipality,year,month,population,value
Santa Cruz,70101,Santa Cruz De La Sierra,2008,9,< de 1 ano / MASCULINO,0
Tarija,60402,Yunchara,2008,9,< de 1 ano / MASCULINO,1
Tarija,60202,Bermejo,2008,10,< de 1 ano / MASCULINO,0
Santa Cruz,70401,Buena Vista,2008,10,< de 1 ano / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,10,< de 1 ano / MASCULINO,0
La Paz,20105,El Alto,2008,10,< de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2008,10,< de 1 ano / MASCULINO,0
Santa Cruz,71401,Puerto Suarez,2008,10,< de 1 ano / MASCULINO,0
Beni,80304,Rurrenabaque,2008,10,< de 1 ano / MASCULINO,0
Cochabamba,31001,Sacaba,2008,10,< de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,10,< de 1 ano / MASCULINO,14
Chuquisaca,10101,Sucre,2008,10,< de 1 ano / MASCULINO,0
Chuquisaca,11001,Villa Vaca Guzman (muyupampa),2008,10,< de 1 ano / MASCULINO,0
Tarija,60301,Yacuiba,2008,10,< de 1 ano / MASCULINO,0
La Paz,20104,Achocalla,2008,11,< de 1 ano / MASCULINO,0
Santa Cruz,70401,Buena Vista,2008,11,< de 1 ano / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,11,< de 1 ano / MASCULINO,0
La Paz,20105,El Alto,2008,11,< de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2008,11,< de 1 ano / MASCULINO,0
Cochabamba,31401,Punata,2008,11,< de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,11,< de 1 ano / MASCULINO,0
La Paz,20606,Tipuani,2008,11,< de 1 ano / MASCULINO,0
Santa Cruz,70802,Trigal,2008,11,< de 1 ano / MASCULINO,0
Tarija,60303,Villa Montes,2008,11,< de 1 ano / MASCULINO,0
Santa Cruz,70403,Yapacani,2008,11,< de 1 ano / MASCULINO,0
Santa Cruz,70706,Camiri,2008,12,< de 1 ano / MASCULINO,0
Cochabamba,30801,Cliza,2008,12,< de 1 ano / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,12,< de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2008,12,< de 1 ano / MASCULINO,0
Cochabamba,31401,Punata,2008,12,< de 1 ano / MASCULINO,0
Cochabamba,31001,Sacaba,2008,12,< de 1 ano / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,12,< de 1 ano / MASCULINO,0
Beni,80101,Trinidad,2008,12,< de 1 ano / MASCULINO,0
Cochabamba,31302,Vila Vila,2008,12,< de 1 ano / MASCULINO,0
Tarija,60303,Villa Montes,2008,12,< de 1 ano / MASCULINO,0
La Paz,20101,La Paz,2008,1,< de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,1,< de 1 ano / FEMENINO,0
Santa Cruz,70702,Charagua,2008,2,< de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2008,2,< de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,2,< de 1 ano / FEMENINO,0
Chuquisaca,10601,Tarabuco,2008,2,< de 1 ano / FEMENINO,0
La Paz,20608,Teoponte,2008,2,< de 1 ano / FEMENINO,0
Cochabamba,30402,Anzaldo,2008,3,< de 1 ano / FEMENINO,0
Tarija,60202,Bermejo,2008,3,< de 1 ano / FEMENINO,0
La Paz,20501,Chuma,2008,3,< de 1 ano / FEMENINO,0
Tarija,60601,Entre Rios,2008,3,< de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2008,3,< de 1 ano / FEMENINO,0
Oruro,40101,Oruro,2008,3,< de 1 ano / FEMENINO,0
Potosí,50101,Potosi,2008,3,< de 1 ano / FEMENINO,0
Cochabamba,31205,Puerto Villarroel,2008,3,< de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,3,< de 1 ano / FEMENINO,0
La Paz,20701,Apolo,2008,4,< de 1 ano / FEMENINO,0
Tarija,60202,Bermejo,2008,4,< de 1 ano / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,4,< de 1 ano / FEMENINO,0
Potosí,50202,Chayanta,2008,4,< de 1 ano / FEMENINO,0
La Paz,21401,Coroico,2008,4,< de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2008,4,< de 1 ano / FEMENINO,0
Tarija,60601,Entre Rios,2008,4,< de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2008,4,< de 1 ano / FEMENINO,0
Oruro,40101,Oruro,2008,4,< de 1 ano / FEMENINO,0
Beni,80201,Riberalta,2008,4,< de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,4,< de 1 ano / FEMENINO,0
Tarija,60101,Tarija,2008,4,< de 1 ano / FEMENINO,0
La Paz,20608,Teoponte,2008,4,< de 1 ano / FEMENINO,0
Tarija,60301,Yacuiba,2008,4,< de 1 ano / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,5,< de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2008,5,< de 1 ano / FEMENINO,0
Tarija,60601,Entre Rios,2008,5,< de 1 ano / FEMENINO,0
La Paz,21601,Gral. J.j. Perez (charazani),2008,5,< de 1 ano / FEMENINO,1
Beni,80202,Guayaramerin,2008,5,< de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2008,5,< de 1 ano / FEMENINO,0
Beni,80801,Magdalena,2008,5,< de 1 ano / FEMENINO,0
Santa Cruz,71001,Montero,2008,5,< de 1 ano / FEMENINO,0
Chuquisaca,10401,Padilla,2008,5,< de 1 ano / FEMENINO,0
Santa Cruz,70503,Robore,2008,5,< de 1 ano / FEMENINO,1
Santa Cruz,70101,Santa Cruz De La Sierra,2008,5,< de 1 ano / FEMENINO,0
Chuquisaca,10403,Sopachuy,2008,5,< de 1 ano / FEMENINO,0
Tarija,60101,Tarija,2008,5,< de 1 ano / FEMENINO,0
Potosí,51202,Tomave,2008,5,< de 1 ano / FEMENINO,0
Tarija,60202,Bermejo,2008,6,< de 1 ano / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,6,< de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2008,6,< de 1 ano / FEMENINO,0
Santa Cruz,71001,Montero,2008,6,< de 1 ano / FEMENINO,1
Oruro,40101,Oruro,2008,6,< de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,6,< de 1 ano / FEMENINO,0
Cochabamba,30903,Tiquipaya,2008,6,< de 1 ano / FEMENINO,0
Potosí,51202,Tomave,2008,6,< de 1 ano / FEMENINO,0
Tarija,60303,Villa Montes,2008,6,< de 1 ano / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,7,< de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2008,7,< de 1 ano / FEMENINO,0
Santa Cruz,71002,General Saavedra,2008,7,< de 1 ano / FEMENINO,0
Beni,80202,Guayaramerin,2008,7,< de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2008,7,< de 1 ano / FEMENINO,0
Oruro,40101,Oruro,2008,7,< de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,7,< de 1 ano / FEMENINO,0
Potosí,50801,Tupiza,2008,7,< de 1 ano / FEMENINO,0
Chuquisaca,10102,Yotala,2008,7,< de 1 ano / FEMENINO,0
Cochabamba,30402,Anzaldo,2008,8,< de 1 ano / FEMENINO,0
La Paz,20701,Apolo,2008,8,< de 1 ano / FEMENINO,0
Tarija,60202,Bermejo,2008,8,< de 1 ano / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,8,< de 1 ano / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,8,< de 1 ano / FEMENINO,0
Santa Cruz,71106,Cuatro Cañadas,2008,8,< de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2008,8,< de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2008,8,< de 1 ano / FEMENINO,0
Santa Cruz,70701,Lagunillas,2008,8,< de 1 ano / FEMENINO,0
Cochabamba,30302,Morochata,2008,8,< de 1 ano / FEMENINO,0
Santa Cruz,70402,San Carlos,2008,8,< de 1 ano / FEMENINO,1
Santa Cruz,71201,San Matias,2008,8,< de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,8,< de 1 ano / FEMENINO,0
Cochabamba,30903,Tiquipaya,2008,8,< de 1 ano / FEMENINO,0
La Paz,20801,Viacha,2008,8,< de 1 ano / FEMENINO,0
Tarija,60202,Bermejo,2008,9,< de 1 ano / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,9,< de 1 ano / FEMENINO,0
Santa Cruz,71002,General Saavedra,2008,9,< de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2008,9,< de 1 ano / FEMENINO,0
Cochabamba,30404,Sacabamba,2008,9,< de 1 ano / FEMENINO,0
Beni,80302,San Borja,2008,9,< de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,9,< de 1 ano / FEMENINO,0
Tarija,60402,Yunchara,2008,9,< de 1 ano / FEMENINO,0
Tarija,60202,Bermejo,2008,10,< de 1 ano / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,10,< de 1 ano / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,10,< de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2008,10,< de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2008,10,< de 1 ano / FEMENINO,0
Santa Cruz,71401,Puerto Suarez,2008,10,< de 1 ano / FEMENINO,0
Beni,80304,Rurrenabaque,2008,10,< de 1 ano / FEMENINO,0
Cochabamba,31001,Sacaba,2008,10,< de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,10,< de 1 ano / FEMENINO,13
Chuquisaca,10101,Sucre,2008,10,< de 1 ano / FEMENINO,0
Chuquisaca,11001,Villa Vaca Guzman (muyupampa),2008,10,< de 1 ano / FEMENINO,0
Tarija,60301,Yacuiba,2008,10,< de 1 ano / FEMENINO,0
La Paz,20104,Achocalla,2008,11,< de 1 ano / FEMENINO,0
Santa Cruz,70401,Buena Vista,2008,11,< de 1 ano / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,11,< de 1 ano / FEMENINO,0
La Paz,20105,El Alto,2008,11,< de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2008,11,< de 1 ano / FEMENINO,0
Cochabamba,31401,Punata,2008,11,< de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,11,< de 1 ano / FEMENINO,0
La Paz,20606,Tipuani,2008,11,< de 1 ano / FEMENINO,0
Santa Cruz,70802,Trigal,2008,11,< de 1 ano / FEMENINO,0
Tarija,60303,Villa Montes,2008,11,< de 1 ano / FEMENINO,0
Santa Cruz,70403,Yapacani,2008,11,< de 1 ano / FEMENINO,1
Santa Cruz,70706,Camiri,2008,12,< de 1 ano / FEMENINO,0
Cochabamba,30801,Cliza,2008,12,< de 1 ano / FEMENINO,0
Cochabamba,30101,Cochabamba,2008,12,< de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2008,12,< de 1 ano / FEMENINO,0
Cochabamba,31401,Punata,2008,12,< de 1 ano / FEMENINO,0
Cochabamba,31001,Sacaba,2008,12,< de 1 ano / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,12,< de 1 ano / FEMENINO,0
Beni,80101,Trinidad,2008,12,< de 1 ano / FEMENINO,1
Cochabamba,31302,Vila Vila,2008,12,< de 1 ano / FEMENINO,0
Tarija,60303,Villa Montes,2008,12,< de 1 ano / FEMENINO,0
La Paz,20101,La Paz,2008,1,1 a 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,1,1 a 4 anos / MASCULINO,0
Santa Cruz,70702,Charagua,2008,2,1 a 4 anos / MASCULINO,1
La Paz,20105,El Alto,2008,2,1 a 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,2,1 a 4 anos / MASCULINO,0
Chuquisaca,10601,Tarabuco,2008,2,1 a 4 anos / MASCULINO,0
La Paz,20608,Teoponte,2008,2,1 a 4 anos / MASCULINO,0
Cochabamba,30402,Anzaldo,2008,3,1 a 4 anos / MASCULINO,0
Tarija,60202,Bermejo,2008,3,1 a 4 anos / MASCULINO,0
La Paz,20501,Chuma,2008,3,1 a 4 anos / MASCULINO,0
Tarija,60601,Entre Rios,2008,3,1 a 4 anos / MASCULINO,0
La Paz,20101,La Paz,2008,3,1 a 4 anos / MASCULINO,0
Oruro,40101,Oruro,2008,3,1 a 4 anos / MASCULINO,0
Potosí,50101,Potosi,2008,3,1 a 4 anos / MASCULINO,0
Cochabamba,31205,Puerto Villarroel,2008,3,1 a 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,3,1 a 4 anos / MASCULINO,0
La Paz,20701,Apolo,2008,4,1 a 4 anos / MASCULINO,0
Tarija,60202,Bermejo,2008,4,1 a 4 anos / MASCULINO,0
Santa Cruz,70401,Buena Vista,2008,4,1 a 4 anos / MASCULINO,0
Potosí,50202,Chayanta,2008,4,1 a 4 anos / MASCULINO,0
La Paz,21401,Coroico,2008,4,1 a 4 anos / MASCULINO,0
La Paz,20105,El Alto,2008,4,1 a 4 anos / MASCULINO,0
Tarija,60601,Entre Rios,2008,4,1 a 4 anos / MASCULINO,0
La Paz,20101,La Paz,2008,4,1 a 4 anos / MASCULINO,0
Oruro,40101,Oruro,2008,4,1 a 4 anos / MASCULINO,0
Beni,80201,Riberalta,2008,4,1 a 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,4,1 a 4 anos / MASCULINO,0
Tarija,60101,Tarija,2008,4,1 a 4 anos / MASCULINO,0
La Paz,20608,Teoponte,2008,4,1 a 4 anos / MASCULINO,0
Tarija,60301,Yacuiba,2008,4,1 a 4 anos / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,5,1 a 4 anos / MASCULINO,0
La Paz,20105,El Alto,2008,5,1 a 4 anos / MASCULINO,0
Tarija,60601,Entre Rios,2008,5,1 a 4 anos / MASCULINO,0
La Paz,21601,Gral. J.j. Perez (charazani),2008,5,1 a 4 anos / MASCULINO,0
Beni,80202,Guayaramerin,2008,5,1 a 4 anos / MASCULINO,0
La Paz,20101,La Paz,2008,5,1 a 4 anos / MASCULINO,0
Beni,80801,Magdalena,2008,5,1 a 4 anos / MASCULINO,0
Santa Cruz,71001,Montero,2008,5,1 a 4 anos / MASCULINO,0
Chuquisaca,10401,Padilla,2008,5,1 a 4 anos / MASCULINO,0
Santa Cruz,70503,Robore,2008,5,1 a 4 anos / MASCULINO,4
Santa Cruz,70101,Santa Cruz De La Sierra,2008,5,1 a 4 anos / MASCULINO,0
Chuquisaca,10403,Sopachuy,2008,5,1 a 4 anos / MASCULINO,0
Tarija,60101,Tarija,2008,5,1 a 4 anos / MASCULINO,0
Potosí,51202,Tomave,2008,5,1 a 4 anos / MASCULINO,0
Tarija,60202,Bermejo,2008,6,1 a 4 anos / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,6,1 a 4 anos / MASCULINO,0
La Paz,20101,La Paz,2008,6,1 a 4 anos / MASCULINO,0
Santa Cruz,71001,Montero,2008,6,1 a 4 anos / MASCULINO,2
Oruro,40101,Oruro,2008,6,1 a 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,6,1 a 4 anos / MASCULINO,0
Cochabamba,30903,Tiquipaya,2008,6,1 a 4 anos / MASCULINO,0
Potosí,51202,Tomave,2008,6,1 a 4 anos / MASCULINO,1
Tarija,60303,Villa Montes,2008,6,1 a 4 anos / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,7,1 a 4 anos / MASCULINO,0
La Paz,20105,El Alto,2008,7,1 a 4 anos / MASCULINO,0
Santa Cruz,71002,General Saavedra,2008,7,1 a 4 anos / MASCULINO,0
Beni,80202,Guayaramerin,2008,7,1 a 4 anos / MASCULINO,0
La Paz,20101,La Paz,2008,7,1 a 4 anos / MASCULINO,0
Oruro,40101,Oruro,2008,7,1 a 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,7,1 a 4 anos / MASCULINO,0
Potosí,50801,Tupiza,2008,7,1 a 4 anos / MASCULINO,0
Chuquisaca,10102,Yotala,2008,7,1 a 4 anos / MASCULINO,0
Cochabamba,30402,Anzaldo,2008,8,1 a 4 anos / MASCULINO,1
La Paz,20701,Apolo,2008,8,1 a 4 anos / MASCULINO,0
Tarija,60202,Bermejo,2008,8,1 a 4 anos / MASCULINO,0
Santa Cruz,70401,Buena Vista,2008,8,1 a 4 anos / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,8,1 a 4 anos / MASCULINO,0
Santa Cruz,71106,Cuatro Cañadas,2008,8,1 a 4 anos / MASCULINO,0
La Paz,20105,El Alto,2008,8,1 a 4 anos / MASCULINO,0
La Paz,20101,La Paz,2008,8,1 a 4 anos / MASCULINO,0
Santa Cruz,70701,Lagunillas,2008,8,1 a 4 anos / MASCULINO,2
Cochabamba,30302,Morochata,2008,8,1 a 4 anos / MASCULINO,0
Santa Cruz,70402,San Carlos,2008,8,1 a 4 anos / MASCULINO,1
Santa Cruz,71201,San Matias,2008,8,1 a 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,8,1 a 4 anos / MASCULINO,0
Cochabamba,30903,Tiquipaya,2008,8,1 a 4 anos / MASCULINO,0
La Paz,20801,Viacha,2008,8,1 a 4 anos / MASCULINO,0
Tarija,60202,Bermejo,2008,9,1 a 4 anos / MASCULINO,0
Santa Cruz,70401,Buena Vista,2008,9,1 a 4 anos / MASCULINO,0
Santa Cruz,71002,General Saavedra,2008,9,1 a 4 anos / MASCULINO,0
La Paz,20101,La Paz,2008,9,1 a 4 anos / MASCULINO,0
Cochabamba,30404,Sacabamba,2008,9,1 a 4 anos / MASCULINO,0
Beni,80302,San Borja,2008,9,1 a 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,9,1 a 4 anos / MASCULINO,0
Tarija,60402,Yunchara,2008,9,1 a 4 anos / MASCULINO,0
Tarija,60202,Bermejo,2008,10,1 a 4 anos / MASCULINO,0
Santa Cruz,70401,Buena Vista,2008,10,1 a 4 anos / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,10,1 a 4 anos / MASCULINO,0
La Paz,20105,El Alto,2008,10,1 a 4 anos / MASCULINO,0
La Paz,20101,La Paz,2008,10,1 a 4 anos / MASCULINO,0
Santa Cruz,71401,Puerto Suarez,2008,10,1 a 4 anos / MASCULINO,0
Beni,80304,Rurrenabaque,2008,10,1 a 4 anos / MASCULINO,0
Cochabamba,31001,Sacaba,2008,10,1 a 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,10,1 a 4 anos / MASCULINO,23
Chuquisaca,10101,Sucre,2008,10,1 a 4 anos / MASCULINO,0
Chuquisaca,11001,Villa Vaca Guzman (muyupampa),2008,10,1 a 4 anos / MASCULINO,0
Tarija,60301,Yacuiba,2008,10,1 a 4 anos / MASCULINO,0
La Paz,20104,Achocalla,2008,11,1 a 4 anos / MASCULINO,0
Santa Cruz,70401,Buena Vista,2008,11,1 a 4 anos / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,11,1 a 4 anos / MASCULINO,0
La Paz,20105,El Alto,2008,11,1 a 4 anos / MASCULINO,0
La Paz,20101,La Paz,2008,11,1 a 4 anos / MASCULINO,0
Cochabamba,31401,Punata,2008,11,1 a 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,11,1 a 4 anos / MASCULINO,0
La Paz,20606,Tipuani,2008,11,1 a 4 anos / MASCULINO,0
Santa Cruz,70802,Trigal,2008,11,1 a 4 anos / MASCULINO,0
Tarija,60303,Villa Montes,2008,11,1 a 4 anos / MASCULINO,0
Santa Cruz,70403,Yapacani,2008,11,1 a 4 anos / MASCULINO,1
Santa Cruz,70706,Camiri,2008,12,1 a 4 anos / MASCULINO,0
Cochabamba,30801,Cliza,2008,12,1 a 4 anos / MASCULINO,0
Cochabamba,30101,Cochabamba,2008,12,1 a 4 anos / MASCULINO,0
La Paz,20101,La Paz,2008,12,1 a 4 anos / MASCULINO,0
Cochabamba,31401,Punata,2008,12,1 a 4 anos / MASCULINO,7
Cochabamba,31001,Sacaba,2008,12,1 a 4 anos / MASCULINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,12,1 a 4 anos / MASCULINO,0
Beni,80101,Trinidad,2008,12,1 a 4 anos / MASCULINO,0
Cochabamba,31302,Vila Vila,2008,12,1 a 4 anos / MASCULINO,0
Tarija,60303,Villa Montes,2008,12,1 a 4 anos / MASCULINO,0
La Paz,20101,La Paz,2008,1,1 a 4 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,1,1 a 4 anos / FEMENINO,0
Santa Cruz,70702,Charagua,2008,2,1 a 4 anos / FEMENINO,1
La Paz,20105,El Alto,2008,2,1 a 4 anos / FEMENINO,0
Santa Cruz,70101,Santa Cruz De La Sierra,2008,2,1 a 4 anos / FEMENINO,0
Chuquisaca,10601,Tarabuco,2008,2,1 a 4 anos / FEMENINO,0
La Paz,20608,Teoponte,2008,2,1 a 4 anos / FEMENINO,0
